,name,connectors,formatted_address,address_components,latitude,longitude,place_link,phone_number,rating,review_count
0,Adani Charging Station,"[{'type': 'CCS', 'total': 2, 'available': 2, 'kw': 60, 'speed': 'Fast'}, {'type': 'Wall socket', 'total': 1, 'available': 1, 'kw': 3, 'speed': 'Slow'}]","Boharpar, Chhattisgarh 493558","{'district': None, 'street_address': None, 'city': 'Boharpar', 'zipcode': '493558', 'state': 'Chhattisgarh', 'country': 'IN'}",21.296246,82.921301,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a268a9131e9d08d:0x4c0d216e5cec1cab,,3.0,3
1,Electric Vehicle Charging Station,"[{'type': 'CCS', 'total': 5, 'available': None, 'kw': 50, 'speed': 'Fast'}, {'type': 'Wall socket', 'total': 3, 'available': None, 'kw': 1, 'speed': 'Slow'}]","WQQJ+GW6, Muneikel, Odisha 768039","{'district': None, 'street_address': 'WQQJ+GW6', 'city': 'Muneikel', 'zipcode': '768039', 'state': 'Odisha', 'country': 'IN'}",20.9382666,82.78270429999999,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a25d70056dadd9b:0xefaf7db64dff064a,,3.3,3
2,CharjKaro Charging Station,"[{'type': 'Unknown plug', 'total': 2, 'available': None, 'kw': 60, 'speed': 'Fast'}]","Shahpur Jat, Siri fort, New Delhi, Delhi 495661","{'district': 'Shahpur Jat, Siri fort', 'street_address': None, 'city': 'New Delhi', 'zipcode': '495661', 'state': 'Delhi', 'country': 'IN'}",21.8069144,82.75252929999999,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x390ce3000c9078a5:0x45b43869440e79e,,2.3,3
3,Adani Charging Station,"[{'type': 'CCS', 'total': 2, 'available': 0, 'kw': 60, 'speed': 'Fast'}, {'type': 'Wall socket', 'total': 1, 'available': 0, 'kw': 3, 'speed': 'Slow'}]","52CP+G76 Kesariya The Dhaba, NH LAY OVER, Ghodari, Chhattisgarh 493445","{'district': None, 'street_address': '52CP+G76 Kesariya The Dhaba, NH LAY OVER', 'city': 'Ghodari', 'zipcode': '493445', 'state': 'Chhattisgarh', 'country': 'IN'}",21.1712751,82.0356379,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28bb4a2b6ae337:0xa1a4c7dcdaa3d7d,,4.3,6
4,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 1, 'kw': 30, 'speed': 'Medium'}]","3996+CM9, Dargaon, Kota, Chhattisgarh 493449","{'district': None, 'street_address': '3996+CM9', 'city': 'Dargaon, Kota', 'zipcode': '493449', 'state': 'Chhattisgarh', 'country': 'IN'}",21.068530799999998,82.3617326,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a26050bd66f02b7:0xa37f07538e64c75c,,5.0,6
5,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 0, 'kw': 30, 'speed': 'Medium'}]","VF76+JRX, RO at Pamgarh, Pamgarh Shivrinarayan Road Di Nailajanjgir, Chhattisgarh 495554","{'district': None, 'street_address': 'VF76+JRX, RO at Pamgarh, Pamgarh Shivrinarayan Road Di Nailajanjgir', 'city': 'Cheudih', 'zipcode': '495554', 'state': 'Chhattisgarh', 'country': 'IN'}",21.864104299999997,82.4621088,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a27cf5ad0e1f9ad:0xf47cd466ede15008,,4.7,3
6,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 1, 'kw': 30, 'speed': 'Medium'}]","8875+VMV, ARJUNDA, Kochinda, Odisha 768033","{'district': None, 'street_address': '8875+VMV', 'city': 'ARJUNDA, Kochinda', 'zipcode': '768033', 'state': 'Odisha', 'country': 'IN'}",21.314738,83.30917099999999,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a26bf138f5ef617:0xcc3a578d7d59d5ce,,1.0,1
7,Tata Power Charging Station,"[{'type': 'CCS', 'total': 1, 'available': None, 'kw': 30, 'speed': 'Medium'}, {'type': 'Type 2', 'total': 1, 'available': None, 'kw': 7, 'speed': 'Slow'}]","Station Road, Moudhapara, Raipur, Gudhiyari, Chhattisgarh 492009","{'district': 'Station Road, Moudhapara', 'street_address': None, 'city': 'Raipur, Gudhiyari', 'zipcode': '492009', 'state': 'Chhattisgarh', 'country': 'IN'}",21.2553683,81.62945309999999,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28dd92bbad6121:0xe25f5431dd97dcb,,3.8,8
8,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 1, 'kw': 30, 'speed': 'Medium'}]","8877+35J, KARALMAL, Karalmal, Kochinda, Odisha 768033","{'district': 'KARALMAL', 'street_address': '8877+35J', 'city': 'Karalmal, Kochinda', 'zipcode': '768033', 'state': 'Odisha', 'country': 'IN'}",21.312703799999998,83.3128902,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a26bf16714e8f45:0xfae7931ad965f5f5,,,0
9,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 0, 'kw': 30, 'speed': 'Medium'}]","9P8V+4J7, ATTABIRA, Kochinda, Suktapali, Odisha 768053","{'district': 'ATTABIRA', 'street_address': '9P8V+4J7', 'city': 'Kochinda, Suktapali', 'zipcode': '768053', 'state': 'Odisha', 'country': 'IN'}",21.3652959,83.7440391,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a2137e72973ae7f:0xd5d8568d0f1a5d9b,,3.9,9
10,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 0, 'kw': 30, 'speed': 'Medium'}]","8F75+PH5, Bargarh, Odisha 768033","{'district': None, 'street_address': '8F75+PH5', 'city': 'Bargarh', 'zipcode': '768033', 'state': 'Odisha', 'country': 'IN'}",21.314256999999998,83.45897819999999,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a26b7b1b8c505f3:0xb29c752db934d02,,5.0,1
11,Tata Power Charging Station,"[{'type': 'CCS', 'total': 1, 'available': None, 'kw': 30, 'speed': 'Medium'}]","6MQQ+4V7, K. K. Nagar, Raipur, Purena, Chhattisgarh 492001","{'district': 'K. K. Nagar', 'street_address': '6MQQ+4V7', 'city': 'Raipur, Purena', 'zipcode': '492001', 'state': 'Chhattisgarh', 'country': 'IN'}",21.2377887,81.6896835,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28dd331922ff4b:0xe8ff71e8506a833c,,2.6,5
12,Electric Vehicle Charging Station,"[{'type': 'CCS', 'total': 4, 'available': None, 'kw': 142, 'speed': 'Fast'}]","Airport Metro Station, Sonegaon, Nagpur, Maharashtra 440005","{'district': 'Sonegaon', 'street_address': 'Airport Metro Station', 'city': 'Nagpur', 'zipcode': '440005', 'state': 'Maharashtra', 'country': 'IN'}",21.086684599999998,79.06369509999999,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd4bfd7bb1b3553:0xab73d86119c3626e,,3.3,22
13,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 1, 'kw': 30, 'speed': 'Medium'}]","5XV9+34V, RASANI,RASANI, Kota, Chhattisgarh 493441","{'district': 'Kota', 'street_address': '5XV9+34V, RASANI,RASANI', 'city': 'Arang', 'zipcode': '493441', 'state': 'Chhattisgarh', 'country': 'IN'}",21.192745,81.967782,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28bc091a794fbf:0xc4b1db3a62419a82,,5.0,1
